Business ID,Statement ID,Statement Start Date,Statement End Date,Outstanding Balance,Total Payment Collected,Payment Date,total_credit_limit,Payment Refund Date,Fee Amount,Total Purchases,Total Refunds,Domestic Amount,International Amount,Net Amount,Total Debits
cl81p742620381lycqw0xl7sf,clb5f3dv7000gss6sdgtkms9u,2022-10-20,2022-10-27 0:00:00,"$1,117.78",$0.00,,"$10,000.00",,$16.19,"$1,506.86",$405.27,$967.27,$539.59,"$1,117.78","$1,523.05"
cl81p742620381lycqw0xl7sf,clb5f3elw000kss6s0xhyeauj,2022-10-27,2022-11-03 0:00:00,"$1,131.84",$0.00,,"$10,000.00",,$0.41,$13.65,$0.00,$0.00,$13.65,$14.06,$14.06
cl81p742620381lycqw0xl7sf,clb5f3fc9000oss6seavabe48,2022-11-03,2022-11-10 0:00:00,"$1,131.84",$0.00,,"$10,000.00",,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
cl81p742620381lycqw0xl7sf,clb5f3g2t000uss6sv1ibevg8,2022-11-10,2022-11-17 0:00:00,"$2,776.68",$0.00,,"$10,000.00",,$47.88,"$1,596.96",$0.00,$0.00,"$1,596.96","$1,644.84","$1,644.84"
cl81p742620381lycqw0xl7sf,clb5f3gtg000yss6scs2ui0nf,2022-11-17,2022-11-24 0:00:00,"$2,776.68",$0.00,,"$10,000.00",,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
cl81p742620381lycqw0xl7sf,clb5f3hk60012ss6ssozqhwux,2022-11-24,2022-12-01 0:00:00,"$8,009.12",$0.00,,"$10,000.00",,$106.53,"$5,125.91",$0.00,"$1,575.00","$3,550.91","$5,232.44","$5,232.44"
cl81p742620381lycqw0xl7sf,clb5f3iaf0017ss6s9e36lgac,2022-12-01,2022-12-08 0:00:00,-$26.86,"$8,035.98",2022-12-02 18:50:22,"$10,000.00",2022-12-02 18:50:22,$0.00,$0.00,$0.00,$0.00,$0.00,"-$8,035.98",$0.00
cl81p742620381lycqw0xl7sf,clbeyxz48000iyj0u5cvcjdba,2022-12-08,2022-12-15 0:00:00,$64.04,$0.00,,"$10,000.00",,$2.65,$88.25,$0.00,$0.00,$88.25,$90.90,$90.90
cl81p742620381lycqw0xl7sf,clboz19ic000hx00texenamuw,2022-12-15,2022-12-22 0:00:00,$146.45,$90.90,2022-12-15 23:24:07,"$10,000.00",2022-12-15 23:24:07,$5.05,$168.26,$0.00,$0.00,$168.26,$82.41,$173.31
cl81p742620381lycqw0xl7sf,clbyz3sdb000nyb0tcckraujf,2022-12-22,2022-12-29 0:00:00,-$31.67,$178.12,2022-12-26 7:51:30,"$10,000.00",2022-12-26 7:51:30,$0.00,$0.00,$0.00,$0.00,$0.00,-$178.12,$0.00
cl81p742620381lycqw0xl7sf,clc8z6tk0000hx90twc6kp7fv,2022-12-29,2023-01-05 0:00:00,$229.19,$0.00,,"$10,000.00",,$6.77,$254.09,$0.00,$28.59,$225.50,$260.86,$260.86
