business_id,statement_id,statement_start_date,statement_end_date,outstanding_balance,total_payment_collected,payment_date,total_credit_limit,payment_refund_date,fee_amount,total_purchases,total_refunds,domestic_amount,international_amount,net_amount,total_debits,previous_outstanding_balance,payment_date_reconcile,days_past_due,missed_payments,statement_balance,outstanding_balance_recon,outstanding_balance_error,total_payment_reconcile,avg_credit_utilization
cl81p742620381lycqw0xl7sf,clb5f3dv7000gss6sdgtkms9u,2022-10-20,2022-10-27,1117.78,0.0,,10000.0,,16.19,1506.86,405.27,967.27,539.59,1117.78,1523.05,-0.0,2022-12-02 18:50:22,36,True,1117.7800000000002,1117.78,False,0.0,11.1778
cl81p742620381lycqw0xl7sf,clb5f3elw000kss6s0xhyeauj,2022-10-27,2022-11-03,1131.84,0.0,,10000.0,,0.41,13.65,0.0,0.0,13.65,14.06,14.06,1117.78,2022-12-02 18:50:22,29,False,14.06,1131.84,False,0.0,11.318399999999999
cl81p742620381lycqw0xl7sf,clb5f3fc9000oss6seavabe48,2022-11-03,2022-11-10,1131.84,0.0,,10000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1131.84,2022-12-02 18:50:22,22,False,0.0,1131.84,False,0.0,11.318399999999999
cl81p742620381lycqw0xl7sf,clb5f3g2t000uss6sv1ibevg8,2022-11-10,2022-11-17,2776.68,0.0,,10000.0,,47.88,1596.96,0.0,0.0,1596.96,1644.84,1644.84,1131.84,2022-12-02 18:50:22,15,False,1644.8400000000001,2776.68,False,0.0,27.7668
cl81p742620381lycqw0xl7sf,clb5f3gtg000yss6scs2ui0nf,2022-11-17,2022-11-24,2776.68,0.0,,10000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2776.68,2022-12-02 18:50:22,8,False,0.0,2776.68,False,0.0,27.7668
cl81p742620381lycqw0xl7sf,clb5f3hk60012ss6ssozqhwux,2022-11-24,2022-12-01,8009.12,0.0,,10000.0,,106.53,5125.91,0.0,1575.0,3550.91,5232.44,5232.44,2776.68,2022-12-02 18:50:22,1,False,5232.44,8009.12,False,0.0,80.0912
cl81p742620381lycqw0xl7sf,clb5f3iaf0017ss6s9e36lgac,2022-12-01,2022-12-08,-26.86,8035.98,2022-12-02 18:50:22,10000.0,2022-12-02 18:50:22,0.0,0.0,0.0,0.0,0.0,-8035.98,0.0,8009.12,2022-12-02 18:50:22,-6,False,-8035.98,-26.86,False,8035.98,-0.2686
cl81p742620381lycqw0xl7sf,clbeyxz48000iyj0u5cvcjdba,2022-12-08,2022-12-15,64.04,0.0,,10000.0,,2.65,88.25,0.0,0.0,88.25,90.9,90.9,-26.86,2022-12-15 23:24:07,0,False,90.9,64.04,False,0.0,0.6404000000000001
cl81p742620381lycqw0xl7sf,clboz19ic000hx00texenamuw,2022-12-15,2022-12-22,146.45,90.9,2022-12-15 23:24:07,10000.0,2022-12-15 23:24:07,5.05,168.26,0.0,0.0,168.26,82.41,173.31,64.04,2022-12-15 23:24:07,-7,False,82.41,146.45,False,90.9,1.4645
cl81p742620381lycqw0xl7sf,clbyz3sdb000nyb0tcckraujf,2022-12-22,2022-12-29,-31.67,178.12,2022-12-26 07:51:30,10000.0,2022-12-26 07:51:30,0.0,0.0,0.0,0.0,0.0,-178.12,0.0,146.45,2022-12-26 07:51:30,-3,False,-178.12,-31.67,False,178.12,-0.3167
cl81p742620381lycqw0xl7sf,clc8z6tk0000hx90twc6kp7fv,2022-12-29,2023-01-05,229.19,0.0,,10000.0,,6.77,254.09,0.0,28.59,225.5,260.86,260.86,-31.67,2023-01-09 23:24:34,4,False,260.86,229.19,False,0.0,2.2919
